Organization/Ministry Name,Network Name,Fellowship Cohort,MOU Participant,Added to Map,Network Membership on Map
Fostering Hope,Travis County Collaboration,S24_01,Yes,Yes,Yes
Dream Together 2030,Travis County Collaboration,S24_01,Yes,Need to Add,Yes
Dwelling Place Texas,Travis County Collaboration,S24_01,Yes,Yes,Yes
Radiant Church,Travis County Collaboration,S24_01,Yes,Yes,Yes
Wildwood Collective (of Wildwood Hills Ranch),Polk County Collaboration,S24_01,Yes,Yes,Yes
Cornerstone Church of Ames,Polk County Collaboration,S24_01,Yes,Yes,Yes
Four Oaks,Polk County Collaboration,S24_01,Yes,Yes,Yes
Foster SQUAD,Polk County Collaboration,S24_01,Yes,Yes,Yes
The Pearl Project,Okaloosa County Collaboration,S24_01,Yes,Yes,Yes
Crosspoint Church,Okaloosa County Collaboration,S24_01,Yes,Yes,Yes
Church on Bayshore,Okaloosa County Collaboration,S24_01,Yes,Yes,Yes
Generations United Church,Okaloosa County Collaboration,S24_01,Yes,Yes,Yes
Emerald Coast Orphan Care,Okaloosa County Collaboration,S24_01,Yes,Yes,Yes
Agape of NC,Wake County Collaboration,F23_02,Yes,Yes,Yes
Carolina Care Center,Wake County Collaboration,F23_02,Yes,Yes,Yes
Second Home RDU,Wake County Collaboration,F23_02,Yes,Yes,Yes
Sustaining Hope for High Impact Parents (SHHIP),Wake County Collaboration,F23_02,Yes,Yes,Yes
Summit Church Collaborative,Wake County Collaboration,F23_02,Yes,Yes,Yes
Seven Homes,Wake County Collaboration,F23_02,Yes,Yes,Yes
"Plant Tamarisk, King's Table Church",Wake County Collaboration,F23_02,Yes,Yes,Yes
Connect South Central Tennessee,Maury County Collaboration,F23_02,Yes,Yes,Yes
Church at Station Hill,Maury County Collaboration,F23_02,Yes,Yes,Yes
CarePortal,Maury County Collaboration,F23_02,Yes,Yes,Yes
Nebraska 117,Douglas County Collaboration,F23_02,Yes,Yes,Yes
Apex Community Services,Douglas County Collaboration,F23_02,Yes,Yes,Yes
The Core Omaha,Douglas County Collaboration,F23_02,Yes,Yes,Yes
Fostering Hope Consulting,Clark County Collaboration,F23_02,Yes,Yes,Yes
Hannah's Closet North,Clark County Collaboration,F23_02,Yes,Yes,Yes
F to A Bridge,Clark County Collaboration,F23_02,Yes,Yes,Yes
Hope Church,Clark County Collaboration,F23_02,Yes,Yes,Yes
Faith Bridge,Randolph County Collaboration,F23_02,Yes,Yes,Yes
Redeemer Church,Randolph County Collaboration,F23_02,Yes,Yes,Yes
Rooted242,Randolph County Collaboration,F23_02,Yes,Yes,Yes
NoCo CAFO,Weld County Collaboration,F23_02,Yes,Yes,Yes
Nightlight Christian Adoptions,Weld County Collaboration,F23_02,Yes,Yes,Yes
Project 1.27,Weld County Collaboration,F23_02,Yes,Yes,Yes
Foster Alight,Weld County Collaboration,F23_02,Yes,Yes,Yes
Colorado Kids Belong,Weld County Collaboration,F23_02,Yes,Yes,Yes
Maple Star Colorado,Weld County Collaboration,F23_02,Yes,Yes,Yes
Timberline Church,Weld County Collaboration,F23_02,Yes,Yes,Yes
"Camp Rock of Georgia, Inc",Lowndes County Collaboration,F23_02,Yes,Yes,Yes
The Church of Remerton,Lowndes County Collaboration,F23_02,Yes,Yes,Yes
MG Empowerment Center,Lowndes County Collaboration,F23_02,Yes,Yes,Yes
Worthy & Known Family Project,Highlands County Collaboration,F23_02,Yes,Yes,Yes
Avon Park Lakes Baptist Church,Highlands County Collaboration,F23_02,Yes,Yes,Yes
South Oak Church,Highlands County Collaboration,F23_02,Yes,Yes,Yes
Worthy & Known Family Project,York County Collaboration,F23_02,Yes,Yes,Yes
Curtis Lake Church,York County Collaboration,F23_02,Yes,Yes,Yes
NOMORE Foundation,York County Collaboration,F23_02,Yes,Yes,Yes
McLean Bible Church - Tysons Campus,Fairfax County Collaboration,F23_02,Yes,Yes,Yes
Project Belong,Fairfax County Collaboration,F23_02,Yes,Yes,Yes
Good Shepherd,Fairfax County Collaboration,F23_02,Yes,Yes,Yes
Four Oaks Church - Killearn,Leon County Collaboration,F23_02,Yes,Yes,Yes
"Morningstar Storage, Generations Church",Leon County Collaboration,F23_02,Yes,Yes,Yes
NoMore Foundation,Leon County Collaboration,F23_02,Yes,Yes,Yes
Appalachian Impact,Upshur County Collaboration,F23_01,Yes,Yes,Yes
New Community Church,Upshur County Collaboration,F23_01,Yes,Yes,Yes
Explore the New Manufacturing,Upshur County Collaboration,F23_01,Yes,Yes,Yes
Crossroads Bible Church,Kent County Collaboration,F23_01,Yes,Yes,Yes
CarePortal,Kent County Collaboration,F23_01,Yes,Yes,Yes
Bethany Christian Services,Kent County Collaboration,F23_01,Yes,Yes,Yes
Chestnut Mountain Village Ministry,Monongalia County Collaboration,F23_01,Yes,Yes,Yes
CMA Church of Morgantown,Monongalia County Collaboration,F23_01,Yes,Yes,Yes
Chestnut Ridge Church,Monongalia County Collaboration,F23_01,Yes,Yes,Yes
Chestnut Mountain Village Ministry,Putnam County Collaboration,F23_01,Yes,Yes,Yes
Calvary Baptist Church,Putnam County Collaboration,F23_01,Yes,Yes,Yes
Mission Point Community Church,Kosciusko County Collaboration,F23_01,Yes,Yes,Yes
Warsaw Community Church,Kosciusko County Collaboration,F23_01,Yes,Yes,Yes
Community Grace Brethren Church,Kosciusko County Collaboration,F23_01,Yes,Yes,Yes
Faith Church,Lake County Collaboration,F23_01,Yes,Yes,Yes
Hands of Hope NWI,Lake County Collaboration,F23_01,Yes,Yes,Yes
Flourish Church,Lake County Collaboration,F23_01,Yes,Yes,Yes
,,F23_02,Yes,,