State,Year,Children in Care,Children in Foster Care,Children in Kinship Care,Children Waiting For Adoption,Children Adopted,Biological Reunification Rate
AK,2023,2671,856,805,266,312,50.6%
AL,2023,5828,3563,1004,368,1018,36.8%
AR,2023,4344,1988,996,211,1546,37.3%
AZ,2023,10573,2486,4919,1483,2254,43.4%
CA,2023,44468,22081,14126,7342,5994,48.1%
CO,2023,4429,2065,1160,355,511,39.0%
CT,2023,3236,1327,995,15,451,30.4%
DC,2023,498,272,106,70,80,34.7%
DE,2023,603,378,81,1109,64,41.5%
FL,2023,20322,8408,8015,1054,5325,40.3%
GA,2023,11154,6659,2152,180,1265,40.3%
HI,2023,1032,,,650,212,53.7%
IA,2023,3937,1436,1577,147,969,49.6%
ID,2023,1537,753,333,3055,290,62.6%
IL,2023,19486,7615,8965,1097,1991,51.7%
IN,2023,10563,3310,4153,1615,1914,50.2%
KS,2023,6449,2717,2003,1600,1142,49.7%
KY,2023,8231,4090,1123,520,1431,38.7%
LA,2023,4410,1798,1831,1234,619,47.9%
MA,2023,8922,5998,122,80,847,56.7%
MD,2023,3819,1643,873,140,330,39.9%
ME,2023,2497,1161,878,1517,376,43.2%
MI,2023,9504,2545,4522,995,1615,35.4%
MN,2023,5954,1504,2018,374,1358,49.3%
MO,2023,12100,2969,4601,479,1373,46.7%
MS,2023,3592,1547,1230,288,585,44.2%
MT,2023,2332,1625,121,1195,298,54.3%
NC,2023,11823,6055,2782,178,1170,38.2%
ND,2023,1473,723,369,241,171,50.2%
NE,2023,3718,1416,1243,69,435,56.8%
NH,2023,1159,445,345,333,208,56.0%
NJ,2023,2804,1442,1124,457,422,43.2%
NM,2023,2143,926,779,549,180,56.4%
NV,2023,4006,1605,1703,1170,743,57.4%
NY,2023,14928,6350,5028,3955,1525,44.1%
OH,2023,15616,8212,3512,1444,2306,33.3%
OK,2023,6494,3188,1916,169,1713,39.5%
OR,2023,4773,1979,1500,627,548,51.4%
PA,2023,12187,4402,2559,11,1495,51.5%
PR,2023,2456,,625,53,48,54.2%
RI,2023,1747,484,489,741,157,46.2%
SC,2023,3571,2063,826,438,661,45.9%
SD,2023,1661,857,416,828,250,41.9%
TN,2023,9065,1183,201,250,1112,44.9%
TX,2023,19168,9254,5136,824,3861,34.5%
UT,2023,1866,873,541,210,397,45.5%
VA,2023,4953,2841,370,1033,703,27.2%
VT,2023,1006,145,346,527,168,47.8%
WA,2023,7047,2504,2868,982,724,65.6%
WI,2023,6297,2867,2412,18,758,49.3%
WV,2023,7276,2011,3763,,1515,44.3%
WY,2023,808,285,273,,88,67.6%
AK,2022,2690,861,663,333,286,49.48%
AL,2022,5260,3371,883,520,765,37.89%
AR,2022,3952,1846,1106,623,840,43.86%
AZ,2022,12202,2181,6026,2090,2614,47.74%
CA,2022,45924,22037,15945,8400,5668,49.63%
CO,2022,4133,2066,1158,594,583,33.29%
CT,2022,3295,1379,1143,547,485,30.88%
DC,2022,427,211,96,44,96,33.85%
DE,2022,548,342,77,6020,53,39.84%
FL,2022,22493,9996,9077,1812,3858,42.50%
GA,2022,10838,6882,2279,248,1201,39.39%
HI,2022,1341,542,605,775,158,53.10%
IA,2022,4048,1574,1687,171,945,45.87%
ID,2022,1548,609,513,2954,276,57.20%
IL,2022,20743,7670,8925,1502,1706,51.19%
IN,2022,11457,3843,4145,1740,1884,54.24%
KS,2022,6808,3021,2294,2394,960,51.58%
KY,2022,7905,5177,1123,501,1341,36.83%
LA,2022,3682,1852,1290,1389,700,37.95%
MA,2022,8824,3336,2394,74,799,56.00%
MD,2022,3609,1220,1490,112,242,35.30%
ME,2022,2429,1082,891,3025,361,44.84%
MI,2022,8940,3350,4049,1490,1667,37.55%
MN,2022,6133,1395,2392,822,1101,50.96%
MO,2022,12514,3669,5036,583,1404,44.83%
MS,2022,3825,1691,1270,345,588,44.12%
MT,2022,2672,956,1071,1170,359,52.04%
NC,2022,11258,6094,2586,347,1097,40.28%
ND,2022,1547,913,413,500,207,48.81%
NE,2022,3873,1658,1370,64,394,59.07%
NH,2022,1181,438,384,468,213,50.33%
NJ,2022,2786,1447,1110,474,588,40.51%
NM,2022,1800,858,634,730,228,53.16%
NV,2022,4047,1648,1717,1647,737,55.26%
NY,2022,14134,5908,4710,3496,1248,39.07%
OH,2022,14946,8355,3173,1683,1508,39.54%
OK,2022,7013,3391,2199,717,1547,41.13%
OR,2022,4826,1854,1665,1856,569,48.49%
PA,2022,12448,5095,5123,44,2172,41.91%
PR,2022,2136,616,512,97,63,49.01%
RI,2022,1723,452,619,757,238,43.16%
SC,2022,3793,2223,742,440,508,48.67%
SD,2022,1615,788,396,1216,247,48.08%
TN,2022,9053,5223,156,7550,1150,43.08%
TX,2022,21358,10106,6611,272,4436,40.36%
UT,2022,2067,889,698,1361,527,40.44%
VA,2022,5039,3055,466,164,774,26.70%
VT,2022,1096,491,357,1196,167,49.21%
WA,2022,8049,2822,3268,668,875,67.05%
WI,2022,6622,3028,2608,1777,669,50.53%
WV,2022,6952,1939,3698,11,1782,47.06%
WY,2022,756,249,297,107,108,64.76%
AK,2021,2899,883,750,334,316,49.47%
AL,2021,5400,3422,805,539,784,36.07%
AR,2021,4507,2041,1437,699,752,42.78%
AZ,2021,13892,2832,6845,2566,2512,51.14%
CA,2021,48738,22972,17194,7385,5829,49.55%
CO,2021,4305,2233,1111,577,605,32.36%
CT,2021,3615,1464,1303,514,437,36.06%
DC,2021,504,261,85,3,108,34.97%
DE,2021,456,261,68,47,86,24.64%
FL,2021,23632,10376,9846,6115,3870,44.17%
GA,2021,10533,6667,2306,1709,1261,39.27%
HI,2021,1437,548,702,269,257,49.19%
IA,2021,4237,1634,1760,787,1007,52.30%
ID,2021,1651,604,591,162,322,54.73%
IL,2021,21259,7674,9226,2455,1597,51.91%
IN,2021,13369,4593,4829,1739,1855,58.44%
KS,2021,7116,3123,2472,1781,839,52.77%
KY,2021,8395,5578,1195,2481,1198,38.33%
LA,2021,3288,1651,1065,529,612,39.88%
MA,2021,9143,3518,2520,1481,755,59.75%
MD,2021,3653,1213,1600,85,215,39.80%
ME,2021,2206,922,824,616,345,47.24%
MI,2021,9553,3548,4322,3115,1687,41.45%
MN,2021,6952,1746,2743,1741,1005,52.18%
MO,2021,13200,3837,5320,891,1346,45.27%
MS,2021,3561,1741,1186,546,546,46.41%
MT,2021,3186,1020,1363,491,287,57.95%
NC,2021,10516,5524,2745,1244,1087,38.17%
ND,2021,1595,963,378,364,202,52.84%
NE,2021,3863,1649,1323,535,369,57.30%
NH,2021,1113,466,339,59,232,44.22%
NJ,2021,3208,1715,1284,535,641,46.57%
NM,2021,1859,848,662,503,396,49.23%
NV,2021,4213,1806,1678,771,718,55.17%
NY,2021,14882,6436,4665,1581,1098,39.91%
OH,2021,15436,8697,3214,3445,1593,40.59%
OK,2021,7470,3620,2377,1602,1381,46.12%
OR,2021,5301,2025,1824,840,667,52.99%
PA,2021,13537,5617,5866,1844,2181,43.64%
PR,2021,2221,612,507,54,69,60.52%
RI,2021,1841,550,684,95,224,53.59%
SC,2021,3956,2531,594,749,451,49.98%
SD,2021,1653,781,414,442,220,47.24%
TN,2021,9252,5239,1088,1157,1222,44.79%
TX,2021,28037,12406,9451,7858,4631,39.79%
UT,2021,2121,966,663,323,530,41.19%
VA,2021,5026,3096,481,1492,859,27.39%
VT,2021,1088,436,356,187,189,47.87%
WA,2021,8978,3424,3078,1355,1066,65.40%
WI,2021,6827,3172,2694,595,697,51.53%
WV,2021,7290,2100,3901,1833,1830,44.23%
WY,2021,855,326,322,33,105,65.70%